practice_id,practice_name,zone,speciality,monetisable_txns
1379566,Sparsh Hospital for Women & Children,malleswaram,General Gynecology,51
1102131,Manipal Hospital Whitefield,whitefield,General Dentistry,51
1163290,Manipal Hospital,hsr layout,General Pediatrics,50
1463193,Dr. Shetty's Centre Of Orthopaedics,hsr layout,Orthopaedics,50
637575,Manipal Hospital,kalyan nagar,Nephrologist,50
634957,"Manipal Hospital, Millers Road ( Vikram Hospitals )",malleswaram,ENT,50
909717,Altius Hospitals,malleswaram,General Gynecology,50
733949,OPTIMA Super Speciality Hospital,malleswaram,Orthopaedics,50
2076082,Kauvery Hospital,marathahalli,Gastroenterologist,50
630200,Manipal Hospitals Old Airport Road,marathahalli,General Surgeon,50
630200,Manipal Hospitals Old Airport Road,marathahalli,Nephrologist,50
1455306,Docube Health Care,whitefield,ENT,50
